,iteration,y_cur,grasp_status,total_time,solution_time_sim,solution_time_real,solution_time_offset,grasp_pose_time,grasp_pose_estimate,offset,z_descent_time,grip_time,trans_grasp
0,1,0.4,SUCCESS,6.479,0.145,0.2905392646789551,0.1455392646789551,3.409,3.243927027,0.165072973,1.673,1.272,0.40000000000000135
1,2,0.39,SUCCESS,6.418,0.03,0.050475120544433594,0.020475120544433595,3.431,3.2171675669999997,0.21383243300000032,1.665,1.296,0.39000000000000135
2,3,0.38,SUCCESS,6.329,0.023,0.05934333801269531,0.03634333801269531,3.419,3.194317392,0.22468260800000017,1.696,1.28,0.38000000000000134
3,4,0.37,SUCCESS,6.406,0.033,0.08713698387145996,0.05413698387145996,3.443,3.1828717650000002,0.2601282349999998,1.702,1.263,0.37000000000000133
4,5,0.36,SUCCESS,6.604,0.222,0.33007359504699707,0.10807359504699707,3.403,3.180117746,0.22288225399999995,1.716,1.27,0.3600000000000013
5,6,0.35,SUCCESS,6.328,0.048,0.1227107048034668,0.0747107048034668,3.322,3.176299422,0.14570057800000003,1.655,1.296,0.3500000000000013
6,7,0.33999999999999997,SUCCESS,6.362,0.028,0.06366086006164551,0.03566086006164551,3.394,3.159011415,0.23498858499999997,1.742,1.272,0.3400000000000013
7,8,0.32999999999999996,SUCCESS,6.399,0.133,0.19435954093933105,0.06135954093933105,3.282,3.111263636,0.17073636400000014,1.6520000000000001,1.304,0.3300000000000013
8,9,0.31999999999999995,SUCCESS,6.4,0.172,0.292417049407959,0.120417049407959,3.235,3.078324704,0.15667529599999996,1.669,1.252,0.3200000000000013
9,10,0.30999999999999994,SUCCESS,6.389,0.139,0.19943857192993164,0.06043857192993163,3.263,3.059134332,0.20386566799999972,1.712,1.297,0.3100000000000013
10,11,0.29999999999999993,SUCCESS,6.37,0.129,0.26943516731262207,0.14043516731262207,3.218,3.017307959,0.20069204099999993,1.686,1.2530000000000001,0.30000000000000127
11,12,0.2899999999999999,SUCCESS,6.198,0.038,0.06459760665893555,0.026597606658935548,3.258,3.012741235,0.245258765,1.74,1.264,0.29000000000000126
12,13,0.2799999999999999,SUCCESS,6.281,0.05,0.10534477233886719,0.055344772338867185,3.224,3.015204362,0.20879563800000023,1.714,1.304,0.28000000000000125
13,14,0.2699999999999999,SUCCESS,6.21,0.043,0.1074986457824707,0.0644986457824707,3.209,3.003428968,0.20557103199999993,1.7349999999999999,1.255,0.27000000000000124
14,15,0.2599999999999999,SUCCESS,6.423,0.174,0.2054920196533203,0.031492019653320324,3.203,2.9915903100000003,0.21140968999999954,1.763,1.266,0.26000000000000123
