,Y,time
0_0,0.4,4.855
1_0,0.39,4.781
2_0,0.38,4.743
3_0,0.37,4.761
4_0,0.36,4.929
5_0,0.35,4.686
6_0,0.33999999999999997,4.713
7_0,0.32999999999999996,4.746
8_0,0.31999999999999995,4.687
9_0,0.30999999999999994,4.72
10_0,0.29999999999999993,4.627
11_0,0.2899999999999999,4.583
12_0,0.2799999999999999,4.6
13_0,0.2699999999999999,4.526
14_0,0.2599999999999999,4.674
15_0,0.2499999999999999,4.625
16_0,0.23999999999999988,4.473
17_0,0.22999999999999987,4.475
18_0,0.21999999999999986,4.6370000000000005
19_0,0.20999999999999985,4.388
20_0,0.19999999999999984,4.369
21_0,0.18999999999999984,4.49
22_0,0.17999999999999983,4.474
23_0,0.16999999999999982,4.348
24_0,0.1599999999999998,4.296
25_0,0.1499999999999998,4.333
26_0,0.1399999999999998,4.269
27_0,0.12999999999999978,4.265
28_0,0.11999999999999979,4.239
29_0,0.10999999999999979,4.189
30_0,0.0999999999999998,4.266
31_0,0.0899999999999998,4.164
32_0,0.07999999999999981,4.105
33_0,0.06999999999999981,4.081
34_0,0.05999999999999981,4.106
35_0,0.04999999999999981,4.261
36_0,0.03999999999999981,4.741
37_0,0.029999999999999805,6.48
38_0,0.019999999999999803,6.419
39_0,0.009999999999999802,6.464
40_0,-1.97758476261356e-16,6.443
41_0,-0.010000000000000198,4.64
42_0,-0.020000000000000198,4.591
43_0,-0.0300000000000002,4.968
44_0,-0.0400000000000002,4.884
45_0,-0.050000000000000204,7.382
46_0,-0.060000000000000206,4.5969999999999995
47_0,-0.0700000000000002,4.617
48_0,-0.0800000000000002,7.234
49_0,-0.09000000000000019,7.3
50_0,-0.10000000000000019,7.298
51_0,-0.11000000000000018,7.333
52_0,-0.12000000000000018,4.993
53_0,-0.13000000000000017,7.288
54_0,-0.14000000000000018,7.298
55_0,-0.1500000000000002,4.996
56_0,-0.1600000000000002,4.853
57_0,-0.1700000000000002,7.091
58_0,-0.18000000000000022,4.82
59_0,-0.19000000000000022,7.119
60_0,-0.20000000000000023,4.812
61_0,-0.21000000000000024,4.838
62_0,-0.22000000000000025,7.067
63_0,-0.23000000000000026,4.747
64_0,-0.24000000000000027,6.928
65_0,-0.2500000000000003,7.088
66_0,-0.2600000000000003,6.927
67_0,-0.2700000000000003,6.797
68_0,-0.2800000000000003,6.782
69_0,-0.2900000000000003,6.857
70_0,-0.3000000000000003,6.795
71_0,-0.31000000000000033,6.752
72_0,-0.32000000000000034,6.8149999999999995
73_0,-0.33000000000000035,6.705
74_0,-0.34000000000000036,6.729
75_0,-0.35000000000000037,6.7059999999999995
76_0,-0.3600000000000004,6.753
77_0,-0.3700000000000004,6.74
78_0,-0.3800000000000004,6.674
79_0,-0.3900000000000004,6.704
