,Y,time
0_0,0.4,6.672
1_0,0.39,6.305
2_0,0.38,6.379
3_0,0.37,6.292
4_0,0.36,6.256
5_0,0.35,7.857
6_0,0.33999999999999997,6.453
7_0,0.32999999999999996,6.428
8_0,0.31999999999999995,6.357
9_0,0.30999999999999994,6.517
10_0,0.29999999999999993,6.595
11_0,0.2899999999999999,6.471
12_0,0.2799999999999999,6.522
13_0,0.2699999999999999,6.515
14_0,0.2599999999999999,6.573
15_0,0.2499999999999999,6.6370000000000005
16_0,0.23999999999999988,6.619
17_0,0.22999999999999987,6.582
18_0,0.21999999999999986,6.723
19_0,0.20999999999999985,6.656
20_0,0.19999999999999984,6.703
21_0,0.18999999999999984,6.842
22_0,0.17999999999999983,6.63
23_0,0.16999999999999982,6.682
24_0,0.1599999999999998,6.688
25_0,0.1499999999999998,6.697
26_0,0.1399999999999998,6.707
27_0,0.12999999999999978,6.6690000000000005
28_0,0.11999999999999979,6.848
29_0,0.10999999999999979,6.718
30_0,0.0999999999999998,6.932
31_0,0.0899999999999998,6.743
32_0,0.07999999999999981,6.7379999999999995
33_0,0.06999999999999981,6.705
34_0,0.05999999999999981,6.832
35_0,0.04999999999999981,6.837
36_0,0.03999999999999981,6.819
37_0,0.029999999999999805,6.729
38_0,0.019999999999999803,7.955
39_0,0.009999999999999802,7.167
40_0,-1.97758476261356e-16,6.905
41_0,-0.010000000000000198,6.763
42_0,-0.020000000000000198,6.7620000000000005
43_0,-0.0300000000000002,6.786
44_0,-0.0400000000000002,6.761
45_0,-0.050000000000000204,6.769
46_0,-0.060000000000000206,6.75
47_0,-0.0700000000000002,6.754
48_0,-0.0800000000000002,6.678
49_0,-0.09000000000000019,6.725
50_0,-0.10000000000000019,6.716
51_0,-0.11000000000000018,6.74
52_0,-0.12000000000000018,6.793
53_0,-0.13000000000000017,6.7780000000000005
54_0,-0.14000000000000018,6.663
55_0,-0.1500000000000002,6.714
56_0,-0.1600000000000002,6.913
57_0,-0.1700000000000002,6.714
58_0,-0.18000000000000022,6.668
59_0,-0.19000000000000022,6.714
60_0,-0.20000000000000023,6.616
61_0,-0.21000000000000024,6.564
62_0,-0.22000000000000025,6.556
63_0,-0.23000000000000026,6.593
64_0,-0.24000000000000027,6.546
65_0,-0.2500000000000003,6.639
66_0,-0.2600000000000003,6.604
67_0,-0.2700000000000003,6.654
68_0,-0.2800000000000003,6.523
69_0,-0.2900000000000003,4.349
70_0,-0.3000000000000003,4.381
71_0,-0.31000000000000033,6.611
72_0,-0.32000000000000034,4.463
73_0,-0.33000000000000035,6.429
74_0,-0.34000000000000036,6.497
75_0,-0.35000000000000037,6.576
76_0,-0.3600000000000004,6.414
77_0,-0.3700000000000004,6.311
78_0,-0.3800000000000004,6.392
79_0,-0.3900000000000004,6.305
